Happy Father’s Day!,144226,2021-06-20 20:19:20
@teslaownersSV Yeah,13758,2021-06-20 03:13:16
@weddleandsons @Tesla Nice work,17215,2021-06-19 02:16:56
@RationalEtienne 🤣🤣,15172,2021-06-19 02:07:53
@udonandtempura @Tesla Haha pretty much,3918,2021-06-18 23:25:57
@Erdayastronaut This is epic. Very impressive history.,16471,2021-06-18 23:25:19
@teslaownersSV True,7193,2021-06-18 23:24:12
"@Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",40822,2021-06-18 22:35:46
@BillyM2k Haha,8446,2021-06-18 09:52:05
Real pic of 2 ships next to Starbase Tiki Bar on right https://t.co/E4awziEdDQ,73146,2021-06-17 18:47:05
@DonIsiko @eroxer310 @MotorTrend @Tesla True,2817,2021-06-17 18:37:46
@eroxer310 @MotorTrend @Tesla Steam engines are even better!,1785,2021-06-17 18:32:59
@Erdayastronaut @vincent13031925 I’ve been driving with the yoke for a while &amp; it’s great imo. Progressive steering would require complex gearing or drive-by-wire without direct mechanical link. Will aim for that in a few years.,5534,2021-06-17 18:23:37
"@XHNews Congratulations, this is a great achievement!",7163,2021-06-17 18:13:30
"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight…",0,2021-06-17 18:09:39
RT @SpaceX: Deployment of GPS III-5 confirmed https://t.co/bMWn5OVr40,0,2021-06-17 18:09:17
RT @SpaceX: Flight-proven Falcon 9 launches GPS III-5 to orbit https://t.co/5Wu96cXCPM,0,2021-06-17 18:09:06
@Teslarati @13ericralph31 @NASASpaceflight @thejackbeyer We might use SN16 on a hypersonic flight test,12089,2021-06-17 18:08:55
RT @MotorTrend: We head to Auto Club Famoso Raceway to test out how long it takes the 2022 @Tesla Model S Plaid to go from 0 to 60 mph. Tes…,0,2021-06-17 18:06:02
@vincent13031925 Fair enough,21276,2021-06-17 18:04:16
@WholeMarsBlog Very sorry to hear that. Condolences to JB and his family.,2988,2021-06-21 23:41:12
@ashleevance Tesla financing round closed at 6pm Dec 24th 2008 – last hour of last day possible or payroll would’ve bounced 2 days later. I gave Tesla last of my remaining cash from PayPal. Didn’t even own a house or anything sellable.,21735,2021-06-21 20:48:20
"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software &amp; hardware, both training &amp; inference. Purpose is recruiting.",62633,2021-06-21 18:59:34
@karpathy “physical-world” sigh,2984,2021-06-21 18:53:37
RT @SpaceX: Falcon 9's first stage returns to Earth and lands on the Just Read the Instructions droneship after launch of GPS III-5 https:/…,0,2021-06-21 18:52:34
"@karpathy In general, anyone interested in working on physical-word AI problems, should consider joining Tesla. Fastest path to deploying your ideas irl.",9546,2021-06-21 18:20:02
Happy Father’s Day!,285268,2021-06-20 20:19:20
@teslaownersSV Yeah,14579,2021-06-20 03:13:16
@weddleandsons @Tesla Nice work,18197,2021-06-19 02:16:56
@RationalEtienne 🤣🤣,15926,2021-06-19 02:07:53
@udonandtempura @Tesla Haha pretty much,4236,2021-06-18 23:25:57
@Erdayastronaut This is epic. Very impressive history.,17013,2021-06-18 23:25:19
@teslaownersSV True,7437,2021-06-18 23:24:12
"@Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",41774,2021-06-18 22:35:46
@BillyM2k Haha,8608,2021-06-18 09:52:05
Real pic of 2 ships next to Starbase Tiki Bar on right https://t.co/E4awziEdDQ,75878,2021-06-17 18:47:05
@DonIsiko @eroxer310 @MotorTrend @Tesla True,2914,2021-06-17 18:37:46
@eroxer310 @MotorTrend @Tesla Steam engines are even better!,1798,2021-06-17 18:32:59
@Erdayastronaut @vincent13031925 I’ve been driving with the yoke for a while &amp; it’s great imo. Progressive steering would require complex gearing or drive-by-wire without direct mechanical link. Will aim for that in a few years.,5636,2021-06-17 18:23:37
"@XHNews Congratulations, this is a great achievement!",7309,2021-06-17 18:13:30
"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight…",0,2021-06-17 18:09:39
RT @SpaceX: Deployment of GPS III-5 confirmed https://t.co/bMWn5OVr40,0,2021-06-17 18:09:17
@WholeMarsBlog Very sorry to hear that. Condolences to JB and his family.,3015,2021-06-21 23:41:12
@ashleevance Tesla financing round closed at 6pm Dec 24th 2008 – last hour of last day possible or payroll would’ve bounced 2 days later. I gave Tesla last of my remaining cash from PayPal. Didn’t even own a house or anything sellable.,21778,2021-06-21 20:48:20
"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software &amp; hardware, both training &amp; inference. Purpose is recruiting.",62715,2021-06-21 18:59:34
@karpathy “physical-world” sigh,2986,2021-06-21 18:53:37
RT @SpaceX: Falcon 9's first stage returns to Earth and lands on the Just Read the Instructions droneship after launch of GPS III-5 https:/…,0,2021-06-21 18:52:34
"@karpathy In general, anyone interested in working on physical-word AI problems, should consider joining Tesla. Fastest path to deploying your ideas irl.",9552,2021-06-21 18:20:02
Happy Father’s Day!,285287,2021-06-20 20:19:20
@teslaownersSV Yeah,14579,2021-06-20 03:13:16
@weddleandsons @Tesla Nice work,18199,2021-06-19 02:16:56
@RationalEtienne 🤣🤣,15926,2021-06-19 02:07:53
@udonandtempura @Tesla Haha pretty much,4236,2021-06-18 23:25:57
@Erdayastronaut This is epic. Very impressive history.,17013,2021-06-18 23:25:19
@teslaownersSV True,7437,2021-06-18 23:24:12
"@Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",41774,2021-06-18 22:35:46
@BillyM2k Haha,8608,2021-06-18 09:52:05
Real pic of 2 ships next to Starbase Tiki Bar on right https://t.co/E4awziEdDQ,75878,2021-06-17 18:47:05
@DonIsiko @eroxer310 @MotorTrend @Tesla True,2914,2021-06-17 18:37:46
@eroxer310 @MotorTrend @Tesla Steam engines are even better!,1798,2021-06-17 18:32:59
@Erdayastronaut @vincent13031925 I’ve been driving with the yoke for a while &amp; it’s great imo. Progressive steering would require complex gearing or drive-by-wire without direct mechanical link. Will aim for that in a few years.,5636,2021-06-17 18:23:37
"@XHNews Congratulations, this is a great achievement!",7309,2021-06-17 18:13:30
"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight…",0,2021-06-17 18:09:39
RT @SpaceX: Deployment of GPS III-5 confirmed https://t.co/bMWn5OVr40,0,2021-06-17 18:09:17
RT @SpaceX: Flight-proven Falcon 9 launches GPS III-5 to orbit https://t.co/5Wu96cXCPM,0,2021-06-17 18:09:06
@Teslarati @13ericralph31 @NASASpaceflight @thejackbeyer We might use SN16 on a hypersonic flight test,12227,2021-06-17 18:08:55
RT @MotorTrend: We head to Auto Club Famoso Raceway to test out how long it takes the 2022 @Tesla Model S Plaid to go from 0 to 60 mph. Tes…,0,2021-06-17 18:06:02
@vincent13031925 Fair enough,21402,2021-06-17 18:04:16
@BitcoinMagazine @jespow Based on what data?,10720,2021-06-17 11:07:28
@adamhoov @JasonCammisa Cool,8823,2021-06-17 11:06:07
"@CrabsAreUs Hello, I’m Clark Kent",5147,2021-06-17 06:07:25
@WholeMarsBlog Manufacturing is so hard. I have the utmost respect for those who build things.,24540,2021-06-17 02:23:00
@DimaZeniuk @Tesla @WholeMarsBlog @dami_kolz @Kristennetten @1stMarsColonist @melaniemadri @daelmor @RationalEtienne @EvaFoxU @AstroJordy @28delayslater It is an honor to work with such talented engineers,16773,2021-06-17 02:14:54
Let’s just skip original video games &amp; movies &amp; go straight to the sequel,143792,2021-06-16 22:37:20
@nuc_geek Massive increase in Supercharger network is underway,12304,2021-06-16 19:30:07
@Teslarati @13ericralph31 I love carbs,24328,2021-06-16 09:08:15
@RenataKonkoly @TheBabylonBee Pretty much an average day back then,3917,2021-06-16 08:19:09
@TheBabylonBee εἰδέναι μὲν μηδὲν πλὴν αὐτὸ τοῦτο εἰδέναι,6450,2021-06-16 06:44:57
@Aakashy78549221 @tesla_raj Nice,7581,2021-06-16 05:39:56
@RationalEtienne @tesla_raj Maybe we should advertise informationally just so people know stuff like this exists,8098,2021-06-16 05:00:17
@RationalEtienne @tesla_raj Most people have no idea just how good the Tesla air purification system is. Literally 10X better than any other car.,6187,2021-06-16 04:58:42
"@RationalEtienne @tesla_raj Oh man, home hvac that is super energy efficient, quiet &amp; purifies the air would be great. We developed it for the car, but it can be scaled up for home use.",3338,2021-06-16 04:56:58
@WholeMarsBlog Very sorry to hear that. Condolences to JB and his family.,3047,2021-06-21 23:41:12
@ashleevance Tesla financing round closed at 6pm Dec 24th 2008 – last hour of last day possible or payroll would’ve bounced 2 days later. I gave Tesla last of my remaining cash from PayPal. Didn’t even own a house or anything sellable.,21815,2021-06-21 20:48:20
"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software &amp; hardware, both training &amp; inference. Purpose is recruiting.",62779,2021-06-21 18:59:34
@karpathy “physical-world” sigh,2987,2021-06-21 18:53:37
RT @SpaceX: Falcon 9's first stage returns to Earth and lands on the Just Read the Instructions droneship after launch of GPS III-5 https:/…,0,2021-06-21 18:52:34
"@karpathy In general, anyone interested in working on physical-word AI problems, should consider joining Tesla. Fastest path to deploying your ideas irl.",9556,2021-06-21 18:20:02
Happy Father’s Day!,285299,2021-06-20 20:19:20
@teslaownersSV Yeah,14580,2021-06-20 03:13:16
@weddleandsons @Tesla Nice work,18200,2021-06-19 02:16:56
@RationalEtienne 🤣🤣,15927,2021-06-19 02:07:53
@udonandtempura @Tesla Haha pretty much,4236,2021-06-18 23:25:57
@Erdayastronaut This is epic. Very impressive history.,17013,2021-06-18 23:25:19
@teslaownersSV True,7437,2021-06-18 23:24:12
"@Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",41775,2021-06-18 22:35:46
@BillyM2k Haha,8608,2021-06-18 09:52:05
Real pic of 2 ships next to Starbase Tiki Bar on right https://t.co/E4awziEdDQ,75878,2021-06-17 18:47:05
@DonIsiko @eroxer310 @MotorTrend @Tesla True,2914,2021-06-17 18:37:46
@eroxer310 @MotorTrend @Tesla Steam engines are even better!,1798,2021-06-17 18:32:59
@Erdayastronaut @vincent13031925 I’ve been driving with the yoke for a while &amp; it’s great imo. Progressive steering would require complex gearing or drive-by-wire without direct mechanical link. Will aim for that in a few years.,5636,2021-06-17 18:23:37
"@XHNews Congratulations, this is a great achievement!",7309,2021-06-17 18:13:30
"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight…",0,2021-06-17 18:09:39
RT @SpaceX: Deployment of GPS III-5 confirmed https://t.co/bMWn5OVr40,0,2021-06-17 18:09:17
@WholeMarsBlog Very sorry to hear that. Condolences to JB and his family.,3049,2021-06-21 23:41:12
@ashleevance Tesla financing round closed at 6pm Dec 24th 2008 – last hour of last day possible or payroll would’ve bounced 2 days later. I gave Tesla last of my remaining cash from PayPal. Didn’t even own a house or anything sellable.,21818,2021-06-21 20:48:20
"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software &amp; hardware, both training &amp; inference. Purpose is recruiting.",62790,2021-06-21 18:59:34
@karpathy “physical-world” sigh,2987,2021-06-21 18:53:37
RT @SpaceX: Falcon 9's first stage returns to Earth and lands on the Just Read the Instructions droneship after launch of GPS III-5 https:/…,0,2021-06-21 18:52:34
"@karpathy In general, anyone interested in working on physical-word AI problems, should consider joining Tesla. Fastest path to deploying your ideas irl.",9557,2021-06-21 18:20:02
Happy Father’s Day!,285300,2021-06-20 20:19:20
@teslaownersSV Yeah,14580,2021-06-20 03:13:16
@weddleandsons @Tesla Nice work,18200,2021-06-19 02:16:56
@RationalEtienne 🤣🤣,15927,2021-06-19 02:07:53
@udonandtempura @Tesla Haha pretty much,4236,2021-06-18 23:25:57
@Erdayastronaut This is epic. Very impressive history.,17013,2021-06-18 23:25:19
@teslaownersSV True,7437,2021-06-18 23:24:12
"@Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",41775,2021-06-18 22:35:46
@BillyM2k Haha,8608,2021-06-18 09:52:05
Real pic of 2 ships next to Starbase Tiki Bar on right https://t.co/E4awziEdDQ,75878,2021-06-17 18:47:05
@DonIsiko @eroxer310 @MotorTrend @Tesla True,2914,2021-06-17 18:37:46
@eroxer310 @MotorTrend @Tesla Steam engines are even better!,1798,2021-06-17 18:32:59
@Erdayastronaut @vincent13031925 I’ve been driving with the yoke for a while &amp; it’s great imo. Progressive steering would require complex gearing or drive-by-wire without direct mechanical link. Will aim for that in a few years.,5636,2021-06-17 18:23:37
"@XHNews Congratulations, this is a great achievement!",7309,2021-06-17 18:13:30
"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight…",0,2021-06-17 18:09:39
RT @SpaceX: Deployment of GPS III-5 confirmed https://t.co/bMWn5OVr40,0,2021-06-17 18:09:17
RT @SpaceX: Flight-proven Falcon 9 launches GPS III-5 to orbit https://t.co/5Wu96cXCPM,0,2021-06-17 18:09:06
@Teslarati @13ericralph31 @NASASpaceflight @thejackbeyer We might use SN16 on a hypersonic flight test,12227,2021-06-17 18:08:55
RT @MotorTrend: We head to Auto Club Famoso Raceway to test out how long it takes the 2022 @Tesla Model S Plaid to go from 0 to 60 mph. Tes…,0,2021-06-17 18:06:02
@vincent13031925 Fair enough,21402,2021-06-17 18:04:16
@BitcoinMagazine @jespow Based on what data?,10720,2021-06-17 11:07:28
@adamhoov @JasonCammisa Cool,8823,2021-06-17 11:06:07
"@CrabsAreUs Hello, I’m Clark Kent",5147,2021-06-17 06:07:25
@WholeMarsBlog Manufacturing is so hard. I have the utmost respect for those who build things.,24540,2021-06-17 02:23:00
@DimaZeniuk @Tesla @WholeMarsBlog @dami_kolz @Kristennetten @1stMarsColonist @melaniemadri @daelmor @RationalEtienne @EvaFoxU @AstroJordy @28delayslater It is an honor to work with such talented engineers,16773,2021-06-17 02:14:54
Let’s just skip original video games &amp; movies &amp; go straight to the sequel,143792,2021-06-16 22:37:20
@nuc_geek Massive increase in Supercharger network is underway,12304,2021-06-16 19:30:07
@Teslarati @13ericralph31 I love carbs,24328,2021-06-16 09:08:15
@RenataKonkoly @TheBabylonBee Pretty much an average day back then,3917,2021-06-16 08:19:09
@TheBabylonBee εἰδέναι μὲν μηδὲν πλὴν αὐτὸ τοῦτο εἰδέναι,6450,2021-06-16 06:44:57
@Aakashy78549221 @tesla_raj Nice,7581,2021-06-16 05:39:56
@RationalEtienne @tesla_raj Maybe we should advertise informationally just so people know stuff like this exists,8098,2021-06-16 05:00:17
@RationalEtienne @tesla_raj Most people have no idea just how good the Tesla air purification system is. Literally 10X better than any other car.,6187,2021-06-16 04:58:42
"@RationalEtienne @tesla_raj Oh man, home hvac that is super energy efficient, quiet &amp; purifies the air would be great. We developed it for the car, but it can be scaled up for home use.",3338,2021-06-16 04:56:58
@WholeMarsBlog Very sorry to hear that. Condolences to JB and his family.,3081,2021-06-21 23:41:12
@ashleevance Tesla financing round closed at 6pm Dec 24th 2008 – last hour of last day possible or payroll would’ve bounced 2 days later. I gave Tesla last of my remaining cash from PayPal. Didn’t even own a house or anything sellable.,21857,2021-06-21 20:48:20
@JRossNicoll This is an important improvement,13528,2021-06-22 05:59:30
RT @SpaceX: View from the droneship of Falcon 9’s landing https://t.co/vk9KP2vPhC,0,2021-06-22 01:09:09
